name,local_name,latitude,longitude,coord_confidence,region,type,water_conditions,access,facilities,best_for,in_wildlife_refuge,gate_hours,notes
Sun Bay (Balneario Sombe),Sombe,18.0931,-65.4731,approximate,Esperanza / South,"swimming, family","calm","easy (paved road, taxi/publico accessible)","restrooms, showers, snack bar, picnic tables, parking, shade trees","families",no,"Open daytime hours; balneario operated by municipality","Large crescent cove beach, soft white sand, walkable from Esperanza. Wild horses graze along the beach. Calm water on east end with great sunsets. Can get busy on weekends."
Playa Caracas (Red Beach),Playa Caracas,18.1018,-65.4458,approximate,South / Wildlife Refuge,"swimming, snorkeling, family","calm","easy (paved road into refuge, taxi/publico accessible)","covered picnic pavilions, composting restroom, shade","families, swimming",yes,"Refuge gates close at sunset","Most accessible refuge beach, first access point on south side. Calm clear water, snorkeling on eastern side of cove. Was a Victoria's Secret Swim shoot location. Arrive early, crowds. Park only in lot to avoid fines."
Playa La Chiva (Blue Beach),La Chiva,18.112578,-65.382951,verified,South / Wildlife Refuge,"snorkeling, swimming, secluded","calm","moderate (dirt road, numbered spots 1-20)","composting toilets at spots #3 and #12, parking","snorkeling, solitude",yes,"Refuge gates close at sunset","Long beach, series of ~25 small coves shaped like a scallop shell - good chance of a private spot. Best snorkeling at spots #8-11. Lower numbers calmer with more shade. Bring everything; near-zero facilities. Watch for sea urchins by rocks."
Playa La Plata (Orchid Beach),La Plata,18.1075,-65.3725,approximate,South / Wildlife Refuge,"swimming, family, secluded","calm","moderate (dirt road past La Chiva, spots 21-26)","none","families, white sand","yes","Refuge gates close at sunset","Brilliant soft white sand, bay-within-a-bay in Ensenada Honda so very small waves. Very kid-friendly. No facilities. La Platita boat ramp at end of road."
Playa Navio,Navio,18.0875,-65.4561,approximate,South / Wildlife Refuge,"surfing, bodysurfing, secluded","moderate to rough","difficult (very rough dirt road, 4x4 recommended, or walk from Media Luna)","none","bodysurfing, photography, solitude",yes,"Refuge gates close at sunset","Past Media Luna. Strong foamy waves great for boogie boarding. Hidden caves on east side for photos. Rarely more than a handful of people. Sea grass on western end. No facilities."
Playa Media Luna,Media Luna,18.0889,-65.4583,approximate,South / Wildlife Refuge,"swimming, family","calm","moderate (dirt road)","none","small children, families",yes,"Refuge gates close at sunset","Half-moon shaped, shallow calm water, ideal for young kids. No facilities. Gateway to the Navio access road."
Playa Negra (Black Sand Beach),Playa Negra,18.0942,-65.4889,approximate,South / near Esperanza,"scenic, hiking","rough","difficult (~20 min hike along dried stream bed)","none","photography, hiking, sightseeing",no,"N/A","Unusual black/grey volcanic sand. ~20 minute walk from road; stream bed may be wet after rain. Black sand gets very hot - protect feet. Rough seas, considered more a hiking trip than a swim."
Playa Esperanza (Malecon Beach),Esperanza Beach,18.0972,-65.4711,approximate,Esperanza town,"swimming, scenic","calm","easy (in town, walkable)","restaurants, bars, fishing pier nearby","sunset, convenience",no,"N/A","Right on the Esperanza malecon in front of bars and restaurants. Local hangout, especially weekends. Kids jump off the sugarcane pier. Best for a sunset drink rather than a full beach day."
Punta Arenas (Green Beach),Green Beach,18.1517,-65.5856,approximate,West end / Wildlife Refuge,"swimming, snorkeling, family","calm","difficult (long dirt trail, jeep recommended)","none","families, snorkeling",yes,"Refuge gates close at sunset","Far western tip. Very calm shallow water - like a warm bathtub - but deepens quickly so watch kids. Excellent snorkeling, can see Puerto Rico mainland and a wind farm. Bugs get bad early; go in morning."
Playa Grande,Playa Grande,18.0931,-65.5031,approximate,Southwest / Wildlife Refuge,"hiking, scenic, secluded","rough","difficult (dirt road, dead-end road from Esperanza via 996/201)","none","walking, nature, turtle nesting",yes,"Refuge gates close at sunset","Long isolated beach, great for walking toward Playa Negra. Turtle nesting beach - keep dogs leashed, watch for roped nests. Not great for swimming. Leads to rugged Punta Vaca."
